,publicationName,source_id,issn,eIssn,aggregationType,count,q_issn,availability,coverage,coverageRange
212,Ohio Journal of Science,22176,00300950,,Journal,1.0,00300950,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 2004.', 'Free E- Journals': 'Available from 2014 volume: 114 issue: 1.', 'Gale Cengage Academic OneFile': 'Available from 2000.'}","['2004 - present', '2014 - present', '2000 - present']"
213,Animal Conservation,17180,13679430,14691795,Journal,1.0,14691795,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1998 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 1998 volume: 1 issue: 1.'}","['1998 - present', '1998 - present']"
214,Northeastern Naturalist,19941,10926194,,Journal,1.0,10926194,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 2003.', 'JSTOR Life Sciences Collection': 'Available from 1997 volume: 4 issue: 1.Most recent 4 year(s) not available.', 'JSTOR Ecology & Botany II': 'Available from 1997 volume: 4 issue: 1.Most recent 4 year(s) not available.', 'Scholars Portal': 'Available from 1997 volume: 4 issue: 1.', 'SciTech Premium Collection': 'Available from 1998.', 'BioOne Complete': 'Available from 2000.'}","['2003 - present', '1997 - 4 year ago', '1997 - 4 year ago', '1997 - present', '1998 - present', '2000 - present']"
215,Analytical Biochemistry,16789,00032697,,Journal,1.0,00032697,Full-text available to present,"{'Elsevier SD Freedom Collection': 'Available from 1993 volume: 208 issue: 1.', 'CRKN Elsevier ScienceDirect': 'Available from 1993 volume: 208 issue: 1.', 'Scholars Portal': 'Available from 1993 volume: 208 issue: 1.'}","['1993 - present', '1993 - present', '1993 - present']"
216,Journal of Entomological Science,20481,07498004,,Journal,1.0,07498004,Full-text available to present,{'BioOne Complete': 'Available from 2010.'},['2010 - present']
217,Environmental Science and Pollution Research,23918,09441344,16147499,Journal,1.0,16147499,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 4 issue: 1.', 'ABI/INFORM Collection': 'Available from 1997.Most recent 1 year(s) not available.', 'ABI/INFORM Global': 'Available from 1997.Most recent 1 year(s) not available.', 'Scholars Portal': 'Available from 1994 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 1997.Most recent 1 year(s) not available.'}","['1997 - present', '1997 - 1 year ago', '1997 - 1 year ago', '1994 - present', '1997 - 1 year ago']"
218,Progress in cell cycle research,19022,10872957,,Journal,1.0,10872957,No full-text available,{},[]
219,Check List,19700188151,,1809127X,Journal,1.0,1809127X,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 2009 until 2014 volume: 10.', 'DOAJ Directory of Open Access Journals': 'Available from 2006.', 'Bioline International': 'Available from 2005 volume: 1 issue: 1 until 2017 volume: 13 issue: 3.', 'SciTech Premium Collection': 'Available from 2016.'}","['2009 - 2014', '2006 - present', '2005 - 2017', '2016 - present']"
220,American Journal of Bioethics,21676,15265161,15360075,Journal,1.0,15360075,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 2001.Most recent 1 year(s) 6 month(s) not available.', 'EBSCOhost CINAHL Complete': 'Available from 2001.Most recent 1 year(s) 6 month(s) not available.', 'Project Muse Premium Collection': 'Available from 2001 volume: 1 issue: 1 until 2004 volume: 4 issue: 2.', 'Taylor & Francis Journals Complete': 'Available from 2001 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 2001 volume: 1 issue: 1.'}","['2001 - 1 year ago', '2001 - 1 year ago', '2001 - 2004', '2001 - present', '2001 - present']"
221,American Fisheries Society Symposium,29410,08922284,,Journal,1.0,08922284,No full-text available,{},[]
222,Journal of Experimental Zoology Part B: Molecular and Developmental Evolution,22556,0022104X,,Journal,1.0,0022104X,"Full-text available, but not complete","{'Scholars Portal': 'Available from 1995 volume: 271 issue: 1 until 2006 volume: 306 issue: 6.', 'CRKN Wiley Online Library': 'Available from 1996 volume: 274 issue: 1 until 2002 volume: 294 issue: 4.'}","['1995 - 2006', '1996 - 2002']"
223,Animal Biotelemetry,21100810702,,20503385,Journal,1.0,20503385,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2013.', 'Gale Cengage Academic OneFile': 'Available from 2015.', 'SciTech Premium Collection': 'Available from 2015.', 'EBSCOhost Academic Search Complete': 'Available from 2015.', 'SpringerOpen Free': 'Available from 2013.', 'BioMed Central Open Access Free': 'Available from 2013 volume: 1 issue: 1.'}","['2013 - present', '2015 - present', '2015 - present', '2015 - present', '2013 - present', '2013 - present']"
224,Toxicological Sciences,25218,10966080,10960929,Journal,1.0,10960929,Full-text available to present,"{'Free E- Journals': 'Available from 1996 volume: 29.', 'Oxford University Press Journals Digital Archive': 'Available from 1981 volume: 1 issue: 1 until 1995 volume: 29 issue: 1.', 'Scholars Portal': 'Available from 1998 volume: 41 issue: 1.', 'CRKN Oxford University Press Current': 'Available from 1998 volume: 41 issue: 1.'}","['1996 - present', '1981 - 1995', '1998 - present', '1998 - present']"
225,Journal of Wildlife Management,18609,0022541X,,Journal,1.0,0022541X,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 2004 volume: 68 issue: 1.', 'JSTOR Life Sciences Collection': 'Available from 1937 volume: 1.Most recent 3 year(s) not available.', 'Scholars Portal': 'Available from 1937 volume: 1 issue: 1 until 2012 volume: 76 issue: 8.', 'SciTech Premium Collection': 'Available from 2004 until 2012.', 'BioOne Complete': 'Available from 2004 until 2011.'}","['2004 - present', '1937 - 3 year ago', '1937 - 2012', '2004 - 2012', '2004 - 2011']"
226,Journal of Proteome Research,17625,15353893,,Journal,1.0,15353893,Full-text available to present,{'CRKN American Chemical Society Journals': 'Available from 2002 volume: 1 issue: 1.'},['2002 - present']
228,Marine Biology Research,100147333,17451000,17451019,Journal,1.0,17451019,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 2005.Most recent 1 year(s) 6 month(s) not available.', 'Taylor & Francis Journals Complete': 'Available from 2005 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 2005 volume: 1 issue: 1.'}","['2005 - 1 year ago', '2005 - present', '2005 - present']"
229,Water SA,19375,03784738,18167950,Journal,1.0,18167950,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 1975 volume: 1 issue: 1.', 'EBSCOhost Academic Search Complete': 'Available from 2008.', 'Gale Cengage Academic OneFile': 'Available from 2012.'}","['1975 - present', '2008 - present', '2012 - present']"
233,Journal of the Science of Food and Agriculture,33928,00225142,10970010,Journal,1.0,10970010,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1996 volume: 70 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 67 issue: 1.'}","['1996 - present', '1995 - present']"
234,Journal of Insect Behavior,20484,08927553,,Journal,1.0,08927553,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 10 issue: 1.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1988 volume: 1 until 1996 volume: 9.', 'Scholars Portal': 'Available from 1988 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 1997.Most recent 1 year(s) not available.'}","['1997 - present', '1988 - 1996', '1988 - present', '1997 - 1 year ago']"
235,Canadian Acoustics - Acoustique Canadienne,12971,07116659,,Journal,1.0,07116659,No full-text available,{},[]
236,Journal of Comparative Psychology,15431,07357036,,Journal,1.0,07357036,Full-text available to present,"{'PsycARTICLES': 'Available from 1983 volume: 97 issue: 1.', 'Scholars Portal': 'Available from 1983 volume: 97 issue: 1.'}","['1983 - present', '1983 - present']"
237,Oncogene,12523,09509232,,Journal,1.0,09509232,Full-text available with embargo,"{'EBSCOhost Academic Search Complete': 'Available from 1997 until 2015.', 'Free E- Journals': 'Available from 1997 volume: 14 issue: 1.Most recent 4 year(s) not available.', 'Gale Cengage Academic OneFile': 'Available from 2000.Most recent 1 year(s) not available.', 'SciTech Premium Collection': 'Available from 2000.Most recent 1 year(s) not available.'}","['1997 - 2015', '1997 - 4 year ago', '2000 - 1 year ago', '2000 - 1 year ago']"
238,Hormone and Metabolic Research,26119,00185043,,Journal,1.0,00185043,Full-text available to present,{'Scholars Portal': 'Available from 2010 volume: 42 issue: 3.'},['2010 - present']
239,Diatom Research,17972,0269249X,21598347,Journal,1.0,21598347,Full-text available to present,"{'Taylor & Francis Journals Complete': 'Available from 1997 volume: 12 issue: 1.', 'Scholars Portal': 'Available from 1996 volume: 11 issue: 1.'}","['1997 - present', '1996 - present']"
240,International Journal of Remote Sensing,22674,01431161,13665901,Journal,1.0,13665901,Full-text available to present,"{'Taylor & Francis Journals Complete': 'Available from 1997 volume: 18 issue: 1.', 'Scholars Portal': 'Available from 1996 volume: 17 issue: 1.'}","['1997 - present', '1996 - present']"
241,Journal of Chromatography A,130000,00219673,,Journal,1.0,00219673,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 689 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 689 issue: 1.'}","['1995 - present', '1995 - present']"
242,Nature Ecology and Evolution,21100831440,,2397334X,Journal,1.0,2397334X,No full-text available,{},[]
243,Isotopes in Environmental and Health Studies,24138,10256016,14772639,Journal,1.0,14772639,Full-text available to present,"{'Taylor & Francis Journals Complete': 'Available from 1997.', 'Scholars Portal': 'Available from 1996 volume: 32 issue: 1.'}","['1997 - present', '1996 - present']"
244,American Journal of Obstetrics and Gynecology,30078,00029378,,Journal,1.0,00029378,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 172 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 172 issue: 1.', 'American Periodicals from the Center for Research Libraries': 'Available from 1897 until 1901.'}","['1995 - present', '1995 - present', '1897 - 1901']"
245,Kennedy Institute of Ethics Journal,16480,10546863,,Journal,1.0,10546863,Full-text available to present,"{'Project Muse Premium Collection': 'Available from 1991 volume: 1 issue: 1.', 'ABI/INFORM Collection': 'Available from 2002 volume: 12 issue: 4.Most recent 1 year(s) not available.', 'ABI/INFORM Global': 'Available from 2002 volume: 12 issue: 4.Most recent 1 year(s) not available.'}","['1991 - present', '2002 - 1 year ago', '2002 - 1 year ago']"
246,Journal of Chromatography B: Analytical Technologies in the Biomedical and Life Sciences,24172,15700232,,Journal,1.0,15700232,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 2002 volume: 766 issue: 1.', 'Scholars Portal': 'Available from 2002 volume: 766 issue: 1.'}","['2002 - present', '2002 - present']"
247,IEEE Journal of Oceanic Engineering,17277,03649059,,Journal,1.0,03649059,Full-text available to present,"{'Scholars Portal': 'Available from 1976 volume: 1 issue: 1.', 'IEEE/IET Electronic Library (IEL)': 'Available from 1976 volume: 1 issue: 1.'}","['1976 - present', '1976 - present']"
248,Geosciences (Switzerland),21100284944,,20763263,Journal,1.0,20763263,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2011.', 'EBSCOhost Academic Search Complete': 'Available from 2012.', 'Free E- Journals': 'Available from 2011.', 'SciTech Premium Collection': 'Available from 2011.'}","['2011 - present', '2012 - present', '2011 - present', '2011 - present']"
249,Applied and Environmental Microbiology,19618,00992240,,Journal,1.0,00992240,Full-text available to present,"{'Highwire Press American Society for Microbiology': 'Available from 1953.', 'PubMed Central': 'Available from 1976 volume: 31.Most recent 6 month(s) not available.'}","['1953 - present', '1976 - 6 month ago']"
250,Chinese Journal of Biomedical Engineering,21456,02588021,,Journal,1.0,02588021,No full-text available,{},[]
251,BioTechniques,15459,07366205,,Journal,1.0,07366205,Full-text available to present,{'DOAJ Directory of Open Access Journals': 'Available from 1996.'},['1996 - present']
252,Reviews on Environmental Health,25263,00487554,,Journal,1.0,00487554,Full-text available to present,"{'SciTech Premium Collection': 'Available from 2015.Most recent 6 month(s) not available.', 'De Gruyter Online Journals': 'Available from 1986 volume: 6.'}","['2015 - 6 month ago', '1986 - present']"
253,Mutation Research - Environmental Mutagenesis and Related Subjects,31756,01651161,,Journal,1.0,01651161,"Full-text available, but not complete","{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 334 issue: 1 until 1996 volume: 361 issue: 3.', 'Scholars Portal': 'Available from 1995 volume: 334 issue: 1 until 1996 volume: 361 issue: 2.'}","['1995 - 1996', '1995 - 1996']"
255,Cell &amp; Tissue Research,18446,0302766X,14320878,Journal,1.0,14320878,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 287 issue: 2.', 'Gale Cengage Academic OneFile': 'Available from 2010.Most recent 1 year(s) not available.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1924 volume: 1 until 1996 volume: 286.', 'SpringerLink Historical Archives Medicine': 'Available from 1924 volume: 1 until 1996 volume: 286.', 'Scholars Portal': 'Available from 1974 volume: 148 issue: 1.', 'SciTech Premium Collection': 'Available from 2002.Most recent 1 year(s) not available.', 'Nursing & Allied Health Database': 'Available from 2002.Most recent 1 year(s) not available.'}","['1997 - present', '2010 - 1 year ago', '1924 - 1996', '1924 - 1996', '1974 - present', '2002 - 1 year ago', '2002 - 1 year ago']"
256,BioEssays,13174,02659247,15211878,Journal,1.0,15211878,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1998 volume: 20 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 17 issue: 1.'}","['1998 - present', '1995 - present']"
258,Molecular Microbiology,20298,0950382X,,Journal,1.0,0950382X,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1987 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 1987 volume: 1 issue: 1.'}","['1987 - present', '1987 - present']"
259,Journal of Geochemical Exploration,23222,03756742,,Journal,1.0,03756742,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 52 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 52 issue: 1.'}","['1995 - present', '1995 - present']"
260,Canadian Journal of Plant Science,17406,00084220,,Journal,1.0,00084220,Full-text available to present,"{'Canadian Science Publishing (NRC Research Press) Current': 'Available from 1957 volume: 37 issue: 1.', 'Canadian Science Publishing (NRC Research Press) Back Issues': 'Available from 1957 volume: 37 issue: 1 until 1995 volume: 75 issue: 4.', 'BioOne Complete': 'Available from 2011.'}","['1957 - present', '1957 - 1995', '2011 - present']"
261,Clinical Biochemistry,16954,00099120,,Journal,1.0,00099120,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 28 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 28 issue: 1.'}","['1995 - present', '1995 - present']"
262,Current Genetics,22074,01728083,14320983,Journal,1.0,14320983,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 31 issue: 1.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1979 volume: 1 until 1996 volume: 30.', 'Scholars Portal': 'Available from 1979 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 2003.Most recent 1 year(s) not available.'}","['1997 - present', '1979 - 1996', '1979 - present', '2003 - 1 year ago']"
263,Chemical Senses,23377,0379864X,,Journal,1.0,0379864X,Full-text available to present,"{'Free E- Journals': 'Available from 1996 volume: 21 issue: 1.Most recent 1 year(s) not available.', 'Oxford University Press Journals Digital Archive': 'Available from 1980 volume: 5 issue: 1 until 1995 volume: 20 issue: 6.', 'Scholars Portal': 'Available from 1996 volume: 21 issue: 1.', 'CRKN Oxford University Press Current': 'Available from 1996 volume: 21 issue: 1.'}","['1996 - 1 year ago', '1980 - 1995', '1996 - present', '1996 - present']"
264,Aquatic Botany,16728,03043770,,Journal,1.0,03043770,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 49 issue: 4.', 'Scholars Portal': 'Available from 1975 volume: 1 issue: 1.'}","['1995 - present', '1975 - present']"
265,New Zealand Journal of Marine and Freshwater Research,27910,00288330,11758805,Journal,1.0,11758805,Full-text available to present,"{'Royal Society of New Zealand free': 'Available from 1967 volume: 1.Most recent 1 year(s) not available.', 'Taylor & Francis Journals Complete': 'Available from 1997 volume: 31 issue: 1.', 'Scholars Portal': 'Available from 1996 volume: 30 issue: 1.'}","['1967 - 1 year ago', '1997 - present', '1996 - present']"
266,Monographs in developmental biology,96436,00770825,,Journal,1.0,00770825,No full-text available,{},[]
267,Visual Neuroscience,19959,09525238,14698714,Journal,1.0,14698714,Full-text available to present,"{'CRKN Cambridge University Press Journals': 'Available from 1998 volume: 15 issue: 1.', 'Scholars Portal': 'Available from 1998 volume: 15 issue: 1.'}","['1998 - present', '1998 - present']"
268,Microscopy Research and Technique,20920,1059910X,10970029,Journal,1.0,10970029,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1996 volume: 33 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 30 issue: 1.'}","['1996 - present', '1995 - present']"
270,Trends in Genetics,19049,01689525,,Journal,1.0,01689525,Full-text available to present,"{'Elsevier SD Freedom Collection': 'Available from 1995 volume: 11 issue: 1.', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 11 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 11 issue: 1.'}","['1995 - present', '1995 - present', '1995 - present']"
271,Journal of Plankton Research,29635,01427873,,Journal,1.0,01427873,Full-text available to present,"{'Oxford University Press Journals Digital Archive': 'Available from 1979 volume: 1 issue: 1 until 1995 volume: 17 issue: 12.', 'Scholars Portal': 'Available from 1996 volume: 18 issue: 1.', 'CRKN Oxford University Press Current': 'Available from 1996 volume: 18 issue: 1.'}","['1979 - 1995', '1996 - present', '1996 - present']"
272,Ecology and Evolution,26916,,20457758,Journal,1.0,20457758,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2011.', 'PubMed Central': 'Available from 2011 volume: 1.', 'SciTech Premium Collection': 'Available from 2011.'}","['2011 - present', '2011 - present', '2011 - present']"
273,Ecological Engineering,20291,09258574,,Journal,1.0,09258574,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 4 issue: 1.', 'Scholars Portal': 'Available from 1992 volume: 1 issue: 1.'}","['1995 - present', '1992 - present']"
275,Planta,16646,00320935,14322048,Journal,1.0,14322048,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 201 issue: 1.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1925 volume: 1 until 1996 volume: 200.', 'JSTOR Ecology & Botany II': 'Available from 1934 volume: 22 issue: 1.Most recent 4 year(s) not available.', 'Scholars Portal': 'Available from 1925 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 2002.Most recent 1 year(s) not available.'}","['1997 - present', '1925 - 1996', '1934 - 4 year ago', '1925 - present', '2002 - 1 year ago']"
276,Water Resources Bulletin,39598,00431370,,Journal,1.0,00431370,No full-text available,{},[]
277,Journal of Cellular Biochemistry,17598,07302312,,Journal,1.0,07302312,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1996 volume: 60 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 57 issue: 1.'}","['1996 - present', '1995 - present']"
279,JARO - Journal of the Association for Research in Otolaryngology,13744,15253961,,Journal,1.0,15253961,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 2000 volume: 1 issue: 1.', 'PubMed Central': 'Available from 2000 volume: 1.Most recent 1 year(s) not available.', 'Scholars Portal': 'Available from 2000 volume: 1 issue: 1.', 'Nursing & Allied Health Database': 'Available from 2000 until 2018.'}","['2000 - present', '2000 - 1 year ago', '2000 - present', '2000 - 2018']"
280,Global and Planetary Change,27049,09218181,,Journal,1.0,09218181,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 10 issue: 1.', 'Scholars Portal': 'Available from 1989 volume: 1 issue: 1.'}","['1995 - present', '1989 - present']"
281,Mechanisms of Development,18579,09254773,,Journal,1.0,09254773,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 49 issue: 1.', 'Scholars Portal': 'Available from 1990 volume: 33 issue: 1.'}","['1995 - present', '1990 - present']"
282,FASEB Journal,15048,08926638,,Journal,1.0,08926638,Full-text available with embargo,{'Free E- Journals': 'Available from 2012 volume: 26 issue: 12.Most recent 1 year(s) not available.'},['2012 - 1 year ago']
283,Fisheries Science,12786,09199268,14442906,Journal,1.0,14442906,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 2005 volume: 71 issue: 1.', 'EBSCOhost Academic Search Complete': 'Available from 2000 volume: 66 issue: 1.Most recent 1 year(s) not available.', 'ABI/INFORM Collection': 'Available from 2005.Most recent 1 year(s) not available.', 'ABI/INFORM Global': 'Available from 2005.Most recent 1 year(s) not available.', 'Scholars Portal': 'Available from 2000 volume: 66 issue: 1.', 'SciTech Premium Collection': 'Available from 2005.Most recent 1 year(s) not available.', 'CRKN Wiley Online Library': 'Available from 2007 volume: 73 issue: 1 until 2008 volume: 74 issue: 6.'}","['2005 - present', '2000 - 1 year ago', '2005 - 1 year ago', '2005 - 1 year ago', '2000 - present', '2005 - 1 year ago', '2007 - 2008']"
284,Biotechnology Advances,15461,07349750,,Journal,1.0,07349750,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 13 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 13 issue: 1.'}","['1995 - present', '1995 - present']"
285,Cancer Gene Therapy,29127,09291903,,Journal,1.0,09291903,Full-text available with embargo,"{'EBSCOhost Academic Search Complete': 'Available from 1999 until 2015.', 'Gale Cengage Academic OneFile': 'Available from 2001.Most recent 1 year(s) not available.', 'SciTech Premium Collection': 'Available from 2000.Most recent 1 year(s) not available.'}","['1999 - 2015', '2001 - 1 year ago', '2000 - 1 year ago']"
286,Nature Structural Biology,39845,10728368,,Journal,1.0,10728368,"Full-text available, but not complete",{'EBSCOhost Academic Search Complete': 'Available from 1998 until 2003.'},['1998 - 2003']
287,Experimental Cell Research,18532,00144827,,Journal,1.0,00144827,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1993 volume: 204 issue: 1.', 'Scholars Portal': 'Available from 1993 volume: 204 issue: 1.'}","['1993 - present', '1993 - present']"
288,Biochemical and Biophysical Research Communications,16845,0006291X,,Journal,1.0,0006291X,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1993 volume: 190 issue: 1.', 'Scholars Portal': 'Available from 1993 volume: 190 issue: 1.'}","['1993 - present', '1993 - present']"
289,Journal of Aquatic Ecosystem Stress and Recovery,70809,13861980,,Journal,1.0,13861980,"Full-text available, but not complete","{'EBSCOhost Academic Search Complete': 'Available from 2000 until 2002.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1992 volume: 1 until 1996 volume: 5.', 'Scholars Portal': 'Available from 1997 volume: 6 issue: 1 until 2002 volume: 9 issue: 4.', 'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 6 issue: 1 until 2002 volume: 9 issue: 4.'}","['2000 - 2002', '1992 - 1996', '1997 - 2002', '1997 - 2002']"
290,Genome Research,22214,10889051,,Journal,1.0,10889051,Full-text available to present,"{'Free E- Journals': 'Available from 1991 volume: 1 issue: 1.Most recent 6 month(s) not available.', 'PubMed Central': 'Available from 1997 volume: 7.Most recent 6 month(s) not available.', 'Highwire Press Cold Spring Harbor Laboratory Press': 'Available from 1991.'}","['1991 - 6 month ago', '1997 - 6 month ago', '1991 - present']"
291,Annals of Surgical Oncology,39465,10689265,,Journal,1.0,10689265,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 4 issue: 1.', 'Scholars Portal': 'Available from 1994 volume: 1 issue: 1.'}","['1997 - present', '1994 - present']"
292,Journal of Shellfish Research,22586,07308000,,Journal,1.0,07308000,Full-text available to present,"{'Free E- Journals': 'Available from 1981 volume: 1 until 2004 volume: 23.', 'Gale Cengage Academic OneFile': 'Available from 2004.', 'Scholars Portal': 'Available from 2005 volume: 24 issue: 1.', 'BioOne Complete': 'Available from 2005.'}","['1981 - 2004', '2004 - present', '2005 - present', '2005 - present']"
293,Perspectives in Ecology and Conservation,21100817643,25300644,,Journal,1.0,25300644,No full-text available,{},[]
294,Endocrine-Related Cancer,26035,13510088,14796821,Journal,1.0,14796821,Full-text available with embargo,"{'Free E- Journals': 'Available from 1998.Most recent 1 year(s) not available.', 'Highwire Press Free': 'Available from 1998.Most recent 1 year(s) not available.'}","['1998 - 1 year ago', '1998 - 1 year ago']"
295,Ecosystems,20343,14329840,,Journal,1.0,14329840,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1998 volume: 1 issue: 1.', 'JSTOR Life Sciences Collection': 'Available from 1998 volume: 1 issue: 1.Most recent 4 year(s) not available.', 'JSTOR Ecology & Botany II': 'Available from 1998 volume: 1 issue: 1.Most recent 4 year(s) not available.', 'Scholars Portal': 'Available from 1998 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 1998.Most recent 1 year(s) not available.'}","['1998 - present', '1998 - 4 year ago', '1998 - 4 year ago', '1998 - present', '1998 - 1 year ago']"
296,Genes and Development,22126,08909369,,Journal,1.0,08909369,Full-text available to present,"{'Free E- Journals': 'Available from 1987 volume: 1 issue: 1.Most recent 6 month(s) not available.', 'Highwire Press Free': 'Available from 1987 volume: 1 issue: 1.', 'PubMed Central': 'Available from 1997 volume: 11.Most recent 6 month(s) not available.', 'Highwire Press Cold Spring Harbor Laboratory Press': 'Available from 1987.', 'EBSCOhost Electronic Journals Service': 'Available from 1987 volume: 1 issue: 1.'}","['1987 - 6 month ago', '1987 - present', '1997 - 6 month ago', '1987 - present', '1987 - present']"
297,Diabetologia,25584,0012186X,,Journal,1.0,0012186X,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 40 issue: 1.', 'SpringerLink Historical Archives Medicine': 'Available from 1965 volume: 1 until 1996 volume: 39.', 'Scholars Portal': 'Available from 1965 volume: 1 issue: 1.'}","['1997 - present', '1965 - 1996', '1965 - present']"
298,Biochimica et Biophysica Acta - Protein Structure and Molecular Enzymology,52056,01674838,,Journal,1.0,01674838,"Full-text available, but not complete","{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 1246 issue: 1 until 2002 volume: 1597 issue: 2.', 'Scholars Portal': 'Available from 1995 volume: 1246 issue: 1 until 2002 volume: 1598 issue: 1.'}","['1995 - 2002', '1995 - 2002']"
299,Journal of Water and Health,17512,14778920,,Journal,1.0,14778920,Full-text available with embargo,{'SciTech Premium Collection': 'Available from 2003.Most recent 1 year(s) not available.'},['2003 - 1 year ago']
300,Nature Cell Biology,19014,14657392,,Journal,1.0,14657392,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 1999 until 2015.', 'Gale Cengage Academic OneFile': 'Available from 2000.Most recent 1 year(s) not available.', 'Nature': 'Available from 1999 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 2000.Most recent 1 year(s) not available.'}","['1999 - 2015', '2000 - 1 year ago', '1999 - present', '2000 - 1 year ago']"
